api-platform/core                   v2.6.8             Build a fully-featur...
doctrine/annotations                1.13.2             Docblock Annotations...
doctrine/cache                      2.1.1              PHP Doctrine Cache l...
doctrine/collections                1.6.8              PHP Doctrine Collect...
doctrine/common                     3.2.1              PHP Doctrine Common ...
doctrine/dbal                       3.3.0              Powerful PHP databas...
doctrine/deprecations               v0.5.3             A small layer on top...
doctrine/doctrine-bundle            2.5.5              Symfony DoctrineBundle
doctrine/doctrine-migrations-bundle 3.2.1              Symfony DoctrineMigr...
doctrine/event-manager              1.1.1              The Doctrine Event M...
doctrine/inflector                  2.0.4              PHP Doctrine Inflect...
doctrine/instantiator               1.4.0              A small, lightweight...
doctrine/lexer                      1.2.2              PHP Doctrine Lexer p...
doctrine/migrations                 3.4.0              PHP Doctrine Migrati...
doctrine/orm                        2.11.0             Object-Relational-Ma...
doctrine/persistence                2.3.0              The Doctrine Persist...
doctrine/sql-formatter              1.1.2              a PHP SQL highlighti...
fig/link-util                       1.2.0              Common utility imple...
friendsofphp/proxy-manager-lts      v1.0.5             Adding support for a...
laminas/laminas-code                4.5.1              Extensions to the PH...
nelmio/cors-bundle                  2.2.0              Adds CORS (Cross-Ori...
nikic/php-parser                    v4.13.2            A PHP parser written...
phpdocumentor/reflection-common     2.2.0              Common reflection cl...
phpdocumentor/reflection-docblock   5.3.0              With this component,...
phpdocumentor/type-resolver         1.6.0              A PSR-5 based resolv...
phpstan/phpdoc-parser               1.2.0              PHPDoc parser with s...
psr/cache                           3.0.0              Common interface for...
psr/container                       2.0.2              Common Container Int...
psr/event-dispatcher                1.0.0              Standard interfaces ...
psr/link                            2.0.1              Common interfaces fo...
psr/log                             3.0.0              Common interface for...
roave/security-advisories           dev-latest 25a216c Prevents installatio...
symfony/asset                       v6.0.1             Manages URL generati...
symfony/cache                       v6.0.2             Provides an extended...
symfony/cache-contracts             v3.0.0             Generic abstractions...
symfony/config                      v6.0.2             Helps you find, load...
symfony/console                     v6.0.2             Eases the creation o...
symfony/dependency-injection        v6.0.2             Allows you to standa...
symfony/deprecation-contracts       v3.0.0             A generic function a...
symfony/doctrine-bridge             v6.0.2             Provides integration...
symfony/dotenv                      v6.0.2             Registers environmen...
symfony/error-handler               v6.0.2             Provides tools to ma...
symfony/event-dispatcher            v6.0.2             Provides tools that ...
symfony/event-dispatcher-contracts  v3.0.0             Generic abstractions...
symfony/expression-language         v6.0.1             Provides an engine t...
symfony/filesystem                  v6.0.0             Provides basic utili...
symfony/finder                      v6.0.2             Finds files and dire...
symfony/flex                        v2.1.2             Composer plugin for ...
symfony/framework-bundle            v6.0.2             Provides a tight int...
symfony/http-foundation             v6.0.2             Defines an object-or...
symfony/http-kernel                 v6.0.2             Provides a structure...
symfony/maker-bundle                v1.36.4            Symfony Maker helps ...
symfony/password-hasher             v6.0.2             Provides password ha...
symfony/polyfill-intl-grapheme      v1.24.0            Symfony polyfill for...
symfony/polyfill-intl-normalizer    v1.24.0            Symfony polyfill for...
symfony/polyfill-mbstring           v1.24.0            Symfony polyfill for...
symfony/polyfill-php81              v1.24.0            Symfony polyfill bac...
symfony/property-access             v6.0.2             Provides functions t...
symfony/property-info               v6.0.2             Extracts information...
symfony/proxy-manager-bridge        v6.0.2             Provides integration...
symfony/routing                     v6.0.1             Maps an HTTP request...
symfony/runtime                     v6.0.0             Enables decoupling P...
symfony/security-bundle             v6.0.2             Provides a tight int...
symfony/security-core               v6.0.2             Symfony Security Com...
symfony/security-csrf               v6.0.1             Symfony Security Com...
symfony/security-http               v6.0.2             Symfony Security Com...
symfony/serializer                  v6.0.2             Handles serializing ...
symfony/service-contracts           v3.0.0             Generic abstractions...
symfony/stopwatch                   v6.0.0             Provides a way to pr...
symfony/string                      v6.0.2             Provides an object-o...
symfony/translation-contracts       v3.0.0             Generic abstractions...
symfony/twig-bridge                 v6.0.2             Provides integration...
symfony/twig-bundle                 v6.0.1             Provides a tight int...
symfony/validator                   v6.0.2             Provides tools to va...
symfony/var-dumper                  v6.0.2             Provides mechanisms ...
symfony/var-exporter                v6.0.0             Allows exporting any...
symfony/web-link                    v6.0.1             Manages links betwee...
symfony/web-profiler-bundle         v6.0.2             Provides a developme...
symfony/yaml                        v6.0.2             Loads and dumps YAML...
twig/twig                           v3.3.7             Twig, the flexible, ...
webmozart/assert                    1.10.0             Assertions to valida...
willdurand/negotiation              3.0.0              Content Negotiation ...
